,description,link,name,number,website
652,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,ADV Comp. Topics in Robotics,CS 598 KKH,http://cs598kkh2021.web.illinois.edu/
653,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Logic and AI,CS 598 GDS,https://ggndpsngh.github.io/teaching/2021-fall-lai/
654,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Transfer Learning,CS 598 HAZ,https://hanzhaoml.github.io/courses/cs598-haz/index.html
655,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Antisocial Computing,CS 598 ECH,http://www.eshwarchandrasekharan.com/fall2021-cs598.html
656,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Methods & Algor. in Lg. Graphs,CS 598 DEL,http://canvas.illinois.edu/courses/14110
657,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,ML for Compilers & Architect.,CS 598 CM,https://charithm.web.illinois.edu/cs598cm/fa2021/
658,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Deep Generative & Dynamic Mod.,CS 598 BAN,https://arindam.cs.illinois.edu/courses/f21cs598/Syllabus.html
659,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Experimental HCI,CS 598 AK,HTTP://COURSES.GRAINGER.ILLINOIS.EDU/CS598AK/FA2021
660,"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",,Teaching Assistant Training,CS 591 TA,https://canvas.illinois.edu
661,"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",,Software Engineering Seminar,CS 591 SE,https://wiki.illinois.edu//wiki/display/SoftEng/Home
662,"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",,Improving your Research Skills,CS 591 LRS,https://wiki.illinois.edu/wiki/display/cs598lrs/Home
663,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,The Art of Web Programming,CS 498 RK2,https://uiuc-web-programming.gitlab.io/fa21/
664,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,The Art of Web Programming,CS 498 RK1,https://uiuc-web-programming.gitlab.io/fa21/
665,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Law &Policy Issues in CS,CS 498 RC1,https://canvas.illinois.edu/courses/14575
666,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Game Development,CS 498 GD2,https://illinois-cs498gd.github.io/
667,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Law &Policy Issues in CS,CS 498 RC2,https://canvas.illinois.edu/courses/14575
668,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Game Development,CS 498 GD1,https://illinois-cs498gd.github.io/
